"SpeciesID"	"Plot"	"Pheno.Event"	"MinDOY"	"MeanDOY"	"MaxDOY"
"1"	"ANMU"	"Art1"	"End"	194.650478229888	215.719142529756	230.69029363133
"2"	"ANMU"	"Art1"	"Onset"	156.254218002203	177.404142646664	194.197704219149
"3"	"ANMU"	"Art1"	"Peak"	170.577528193888	194.001536834201	209.763559996822
"4"	"ANMU"	"Art2"	"End"	189.664890487407	208.551916394446	227.175056966488
"5"	"ANMU"	"Art2"	"Onset"	156.486777512125	172.663507757005	193.07839514083
"6"	"ANMU"	"Art2"	"Peak"	169.228279786489	190.477377694067	208.198158491123
"7"	"ANMU"	"Art3"	"End"	192.100769331208	220.614978553409	235.729876951153
"8"	"ANMU"	"Art3"	"Onset"	162.056809137795	184.75390879243	206.235570755104
"9"	"ANMU"	"Art3"	"Peak"	178.599752608556	202.263945077267	227.946289911377
"10"	"ANMU"	"Art4"	"End"	200.013421894876	222.293289393448	232.855152740177
"11"	"ANMU"	"Art4"	"Onset"	166.294778727196	185.166643201077	207.055835085786
"12"	"ANMU"	"Art4"	"Peak"	185.431704324656	202.617818134731	220.489381784611
"13"	"ANMU"	"Art5"	"End"	194.504388205367	218.146194297319	233.161544755485
"14"	"ANMU"	"Art5"	"Onset"	160.510712376772	174.696609484311	191.238437475757
"15"	"ANMU"	"Art5"	"Peak"	181.677175198593	195.293920048078	210.4473265055
"16"	"ANMU"	"Art6"	"End"	194.627444539705	218.570235741445	233.820978735771
"17"	"ANMU"	"Art6"	"Onset"	156.107934649518	184.023344050849	204.01241956993
"18"	"ANMU"	"Art6"	"Peak"	168.373339872077	200.13674717441	218.288460783897
"19"	"ANMU"	"Art7"	"End"	194.801243534527	216.922599888071	230.197517970795
"20"	"ANMU"	"Art7"	"Onset"	159.613580179361	174.726337771248	187.41040219231
"21"	"ANMU"	"Art7"	"Peak"	182.777508338434	195.481074691633	213.366493761367
"22"	"Acari"	"Art1"	"End"	202.44966640527	218.318865613102	233.346774960084
"23"	"Acari"	"Art1"	"Onset"	162.828830496805	180.378065579821	205.928908163505
"24"	"Acari"	"Art1"	"Peak"	182.434606150317	195.869134214746	214.488571854003
"25"	"Acari"	"Art2"	"End"	189.357566456081	216.237587206726	231.123475287375
"26"	"Acari"	"Art2"	"Onset"	156.578201783295	169.131229594584	179.571470411179
"27"	"Acari"	"Art2"	"Peak"	172.10796272249	190.40539651919	206.578516049216
"28"	"Acari"	"Art3"	"End"	220.024966446563	229.853497582758	235.550739629484
"29"	"Acari"	"Art3"	"Onset"	160.562237635657	177.368291689346	196.496800514545
"30"	"Acari"	"Art3"	"Peak"	188.966785605961	205.003033671885	221.638089800186
"31"	"Acari"	"Art4"	"End"	217.810631935777	229.760321398368	235.038713973052
"32"	"Acari"	"Art4"	"Onset"	163.773721387814	179.658002985173	196.565886240193
"33"	"Acari"	"Art4"	"Peak"	188.805381210136	205.348565276603	221.455007919381
"34"	"Acari"	"Art5"	"End"	213.896412222451	224.292928527588	234.202601823673
"35"	"Acari"	"Art5"	"Onset"	154.806298510013	181.73452411404	201.737809356457
"36"	"Acari"	"Art5"	"Peak"	160.383526625552	202.028587928093	221.013072337766
"37"	"Acari"	"Art6"	"End"	171.652515374897	217.949826100953	235.932728087244
"38"	"Acari"	"Art6"	"Onset"	154.709414804462	183.991842455136	207.850042907993
"39"	"Acari"	"Art6"	"Peak"	159.227372645386	197.311755375637	225.597193872904
"40"	"Acari"	"Art7"	"End"	212.618373135135	224.354375163006	233.928092434563
"41"	"Acari"	"Art7"	"Onset"	160.825412368977	178.217430376566	196.775343245809
"42"	"Acari"	"Art7"	"Peak"	179.311710696403	201.459220142928	218.886465495406
"43"	"Agromyzidae"	"Art1"	"End"	176.698737985275	176.698737985275	176.698737985275
"44"	"Agromyzidae"	"Art1"	"Onset"	155.458306494461	155.458306494461	155.458306494461
"45"	"Agromyzidae"	"Art1"	"Peak"	162.367640146226	162.367640146226	162.367640146226
"46"	"Aphidoidea"	"Art2"	"End"	215.895992436597	225.040498225797	234.962970784744
"47"	"Aphidoidea"	"Art2"	"Onset"	173.561747019819	186.763024384231	206.059754928367
"48"	"Aphidoidea"	"Art2"	"Peak"	194.530038799529	207.154877997546	223.840105961081
"49"	"Aphidoidea"	"Art3"	"End"	212.249294708322	226.031068059352	235.110579226587
"50"	"Aphidoidea"	"Art3"	"Onset"	187.442617990776	191.253335266552	193.70949633391
"51"	"Aphidoidea"	"Art3"	"Peak"	197.837948220248	210.107704462194	220.870363976165
"52"	"Aphidoidea"	"Art4"	"End"	206.875011663874	219.499690664034	232.124369664194
"53"	"Aphidoidea"	"Art4"	"Onset"	183.605820710097	184.67520639866	185.744592087223
"54"	"Aphidoidea"	"Art4"	"Peak"	193.675912698787	201.725674899296	209.775437099805
"55"	"Aphidoidea"	"Art7"	"End"	230.265992047185	233.525300044347	235.700440727032
"56"	"Aphidoidea"	"Art7"	"Onset"	176.186459305892	194.389177984367	215.353254521822
"57"	"Aphidoidea"	"Art7"	"Peak"	206.256412098275	217.988708886474	226.414009513002
"58"	"Braconidae"	"Art5"	"End"	235.110929758987	235.110929758987	235.110929758987
"59"	"Braconidae"	"Art5"	"Onset"	195.101288541707	195.101288541707	195.101288541707
"60"	"Braconidae"	"Art5"	"Peak"	221.264876035843	221.264876035843	221.264876035843
"61"	"CHCE"	"Art1"	"End"	173.875712280637	196.352583832598	221.639545994962
"62"	"CHCE"	"Art1"	"Onset"	154.752917900365	168.057738553925	188.33356842719
"63"	"CHCE"	"Art1"	"Peak"	159.559459048289	180.52605718608	193.615514285699
"64"	"CHCE"	"Art2"	"End"	182.429591533326	198.480696680057	214.225829059076
"65"	"CHCE"	"Art2"	"Onset"	156.692701195838	171.56513280879	184.532148913815
"66"	"CHCE"	"Art2"	"Peak"	170.225349887973	184.399169472214	196.766793255175
"67"	"CHCE"	"Art3"	"End"	197.542007644181	213.442680609164	235.218356004345
"68"	"CHCE"	"Art3"	"Onset"	170.042046305989	185.997101091725	214.711947772581
"69"	"CHCE"	"Art3"	"Peak"	185.945744362016	198.910042532587	225.800563581309
"70"	"CHCE"	"Art4"	"End"	195.819605632683	212.738814715443	232.46332757371
"71"	"CHCE"	"Art4"	"Onset"	158.582312818972	182.901750958555	198.374071531755
"72"	"CHCE"	"Art4"	"Peak"	180.274253175087	196.323908375933	209.762263752455
"73"	"CHCE"	"Art5"	"End"	190.347955366639	208.44162646006	230.08284203389
"74"	"CHCE"	"Art5"	"Onset"	155.601430506571	173.214534355793	197.565155091822
"75"	"CHCE"	"Art5"	"Peak"	165.068996359099	189.091142162099	208.289029680284
"76"	"CHCE"	"Art6"	"End"	189.328362718686	205.818949270491	214.011963910017
"77"	"CHCE"	"Art6"	"Onset"	155.661287362834	176.577671928947	196.812974382464
"78"	"CHCE"	"Art6"	"Peak"	167.30118668246	186.55882914147	203.145721352058
"79"	"CHCE"	"Art7"	"End"	192.435603967036	208.400791688351	229.967161818913
"80"	"CHCE"	"Art7"	"Onset"	155.134974490599	169.32139778392	192.467832235842
"81"	"CHCE"	"Art7"	"Peak"	162.553457781575	187.222399570175	207.27184822379
"82"	"Calliphoridae"	"Art2"	"End"	226.442519621219	226.442519621219	226.442519621219
"83"	"Calliphoridae"	"Art2"	"Onset"	155.576088144227	155.576088144227	155.576088144227
"84"	"Calliphoridae"	"Art2"	"Peak"	168.920617940158	168.920617940158	168.920617940158
"85"	"Calliphoridae"	"Art3"	"End"	232.032126307385	233.846346334888	235.660566362391
"86"	"Calliphoridae"	"Art3"	"Onset"	159.383896623597	184.569928488687	209.755960353777
"87"	"Calliphoridae"	"Art3"	"Peak"	217.355685107961	221.499057778003	225.642430448044
"88"	"Calliphoridae"	"Art4"	"End"	236.246954042854	236.246954042854	236.246954042854
"89"	"Calliphoridae"	"Art4"	"Onset"	210.871210471822	210.871210471822	210.871210471822
"90"	"Calliphoridae"	"Art4"	"Peak"	227.623672047504	227.623672047504	227.623672047504
"91"	"Calliphoridae"	"Art5"	"End"	232.879602298991	232.879602298991	232.879602298991
"92"	"Calliphoridae"	"Art5"	"Onset"	156.352263490854	156.352263490854	156.352263490854
"93"	"Calliphoridae"	"Art5"	"Peak"	205.104727416924	205.104727416924	205.104727416924
"94"	"Calliphoridae"	"Art7"	"End"	226.979036805294	231.194487548585	235.409938291875
"95"	"Calliphoridae"	"Art7"	"Onset"	157.027852120675	184.074167601724	211.120483082772
"96"	"Calliphoridae"	"Art7"	"Peak"	180.088973242477	202.731537547712	225.374101852946
