"Obsdate","Observer","Plot","Field_remarks","Section","SnowCoverFraction","General_remarks"
"2019/05/29","Lars Holst Hansen","Art1","No remarks","A",10,"No remarks"
"2019/05/29","Lars Holst Hansen","Art2","No remarks","A",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Art3","No remarks","A",100,"No remarks"
"2019/05/29","Lars Holst Hansen","Art5","No remarks","A",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Art6","No remarks","A",100,"No remarks"
"2019/05/29","Lars Holst Hansen","Art7","No remarks","A",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Cas1","No remarks","A",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Cas2","No remarks","A",99,"No remarks"
"2019/05/29","Lars Holst Hansen","Cas3","No remarks","A",5,"No remarks"
"2019/05/29","Lars Holst Hansen","Cas4","No remarks","A",65,"No remarks"
"2019/05/29","Lars Holst Hansen","Dry1","No remarks","A",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Dry2Sal7","No remarks","A",100,"No remarks"
"2019/05/29","Lars Holst Hansen","Dry3","No remarks","A",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Dry4","No remarks","A",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Dry5","No remarks","A",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Dry6Pap4","No remarks","A",100,"No remarks"
"2019/05/29","Lars Holst Hansen","Eri1","No remarks","A",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Eri2","No remarks","A",75,"No remarks"
"2019/05/29","Lars Holst Hansen","Eri3","No remarks","A",100,"No remarks"
"2019/05/29","Lars Holst Hansen","Eri4","No remarks","A",100,"No remarks"
"2019/05/29","Lars Holst Hansen","Pap1","No remarks","A",60,"No remarks"
"2019/05/29","Lars Holst Hansen","Pap2Sal5","No remarks","A",98,"No remarks"
"2019/05/29","Lars Holst Hansen","Pap3","No remarks","A",75,"No remarks"
"2019/05/29","Lars Holst Hansen","Sal1","No remarks","A",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Sal2","No remarks","A",60,"No remarks"
"2019/05/29","Lars Holst Hansen","Sal3","No remarks","A",0,"No remarks"
