Date	Plot	Section	SnowCoverFraction	Field_remarks	General_remarks
1995-07-15	Cas1	B	-9999	No remarks	No remarks
1995-07-15	Cas1	C	-9999	No remarks	No remarks
1995-07-15	Cas1	D	-9999	No remarks	No remarks
1995-07-15	Cas3	A	-9999	No remarks	No remarks
1995-07-15	Cas4	B	-9999	No remarks	No remarks
1995-07-15	Cas4	C	-9999	No remarks	No remarks
1995-07-15	Cas4	D	-9999	No remarks	No remarks
1995-07-15	Cas3	B	-9999	No remarks	No remarks
1995-07-15	Cas3	C	-9999	No remarks	No remarks
1995-07-15	Cas3	D	-9999	No remarks	No remarks
1995-07-15	Cas4	A	-9999	No remarks	No remarks
1995-07-22	Cas2	A-D	-9999	No remarks	No remarks
1995-07-22	Cas3	A-D	-9999	No remarks	No remarks
1995-07-23	Sil4	A-D	-9999	No remarks	No remarks
1995-07-23	Sal3	A-D	-9999	No remarks	No remarks
1995-07-23	Cas1	A-D	-9999	No remarks	No remarks
1995-07-23	Sil4	A-D	-9999	No remarks	No remarks
1995-07-26	Sal1	A-D	-9999	No remarks	No remarks
1995-07-27	Cas4	A-D	-9999	No remarks	No remarks
1995-07-28	Sal1	A-D	-9999	No remarks	No remarks
1995-07-28	Sal3	A-D	-9999	No remarks	No remarks
1995-07-28	Sil4	A-D	-9999	No remarks	No remarks
1995-08-05	Sil4	A-D	-9999	No remarks	No remarks
1995-08-05	Sal1	A-D	-9999	No remarks	No remarks
1995-08-05	Sal3	A-D	-9999	No remarks	No remarks
1995-08-05	Cas3	A-D	-9999	No remarks	No remarks
1995-08-12	Sal1	A-D	-9999	No remarks	No remarks
1995-08-12	Sal3	A-D	-9999	No remarks	No remarks
1995-08-12	Sil4	A-D	-9999	No remarks	No remarks
1995-08-14	Sal2	A-D	-9999	No remarks	No remarks
1995-08-16	Sal4	A-D	-9999	No remarks	No remarks
1995-08-19	Sal3	A-D	-9999	No remarks	No remarks
1995-08-19	Sal4	A-D	-9999	No remarks	No remarks
1995-08-19	Sil4	A-D	-9999	No remarks	No remarks
1995-08-19	Sal1	A-D	-9999	No remarks	No remarks
1995-08-19	Sal2	A-D	-9999	No remarks	No remarks
1995-08-26	Sal1	A-D	-9999	No remarks	No remarks
1995-08-26	Sal2	A-D	-9999	No remarks	No remarks
1995-08-26	Sal4	A-D	-9999	No remarks	No remarks
1996-06-03	Dry4	A-D	20	No remarks	No remarks
1996-06-03	Dry5	A-D	100	No remarks	No remarks
1996-06-03	Dry6Pap4	A-D	100	No remarks	No remarks
